5731e87,Yohan Chathuranga,12 hours ago,resolve issues in pagination
20061ff,Yohan Chathuranga,9 weeks ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
bf59aa6,Yohan Chathuranga,9 weeks ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
8e6b5f5,yohanchathuranga,9 weeks ago,Update server.js
5ab886d,yohanchathuranga,9 weeks ago,Update server.js
2823501,yohanchathuranga,9 weeks ago,Update navbar.component.html
7aa2d5c,yohanchathuranga,9 weeks ago,Update navbar.component.html
5e4f0af,yohanchathuranga,9 weeks ago,Update navbar.component.html
9962d53,yohanchathuranga,9 weeks ago,Create server.js
11b8013,Yohan Chathuranga,9 weeks ago,update server
62b8f44,yohanchathuranga,9 weeks ago,Delete server.js
ccdb43b,Yohan Chathuranga,9 weeks ago,update for merge
3a7228f,Yohan Chathuranga,9 weeks ago,update for merge
204ff5d,Yohan Chathuranga,2 months ago,add profiles
8cf7bba,Yohan Chathuranga,2 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
143b751,Yohan Chathuranga,2 months ago,Add password reset
6f1aabd,unknown,3 months ago,update package.json
4a89ca6,yohanchathuranga,3 months ago,Update app.module.ts
7b52621,yohanchathuranga,3 months ago,Update app.module.ts
e7b4705,yohanchathuranga,3 months ago,Update app.module.ts
0315ba3,yohanchathuranga,3 months ago,Update server.js
3b2c819,unknown,3 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
7dd97f0,unknown,3 months ago,Add Edit,Delete,Confirm bookings
ec7c1f4,yohanchathuranga,3 months ago,Update app.module.ts
be3f1f2,unknown,3 months ago,Add Edit,Delete,Confirm bookings
9bb2fc3,unknown,3 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
aa5cca7,unknown,3 months ago,Add Edit,Delete,Confirm bookings
da49f41,yohanchathuranga,4 months ago,Update app.module.ts
cdbe93c,yohanchathuranga,4 months ago,Update index.html
c4931dd,yohanchathuranga,4 months ago,Update package.json
e244c8e,yohanchathuranga,4 months ago,Update app.module.ts
1c32897,yohanchathuranga,4 months ago,Update index.html
a3d9299,yohanchathuranga,4 months ago,Update index.html
661eaac,yohanchathuranga,4 months ago,Update styles.scss
2c9b531,yohanchathuranga,4 months ago,Update package.json
915b804,yohanchathuranga,4 months ago,Update server.js
aa130bd,yohanchathuranga,4 months ago,Update app.module.ts
1fffbe9,yohanchathuranga,4 months ago,Update app.module.ts
6e4b5b5,yohanchathuranga,4 months ago,Update app-routing.module.ts
72f19de,yohanchathuranga,4 months ago,Update app-routing.module.ts
cc352f1,yohanchathuranga,4 months ago,Update app-routing.module.ts
82a77e6,yohanchathuranga,4 months ago,Update package.json
5ce9c23,yohanchathuranga,4 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
da13673,yohanchathuranga,4 months ago,resolve conflict
413c17d,yohanchathuranga,4 months ago,Update package.json
9a7e482,yohanchathuranga,4 months ago,Delete server.js
2de1fe5,yohanchathuranga,4 months ago,Delete package-lock.json
605fd26,yohanchathuranga,4 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
639d8ae,yohanchathuranga,4 months ago,Add teacher booking view
f20e0b1,yohanchathuranga,4 months ago,Update package.json
7b35f71,yohanchathuranga,4 months ago,Update package.json
82018a8,yohanchathuranga,4 months ago,Add, make a booking, and load booking to calendar
a3de92f,yohanchathuranga,4 months ago,Update app.module.ts
d7ce8f7,yohanchathuranga,4 months ago,resolve conflict
58891e3,yohanchathuranga,4 months ago,resolve conflict
8ce7639,yohanchathuranga,4 months ago,resolve conflict
b68a42b,yohanchathuranga,4 months ago,Merge branch 'Yohan' of https://github.com/Heshan-kavi/eTeacher into Yohan
7a8feb1,yohanchathuranga,4 months ago,resolve conflict
bd5a864,yohanchathuranga,4 months ago,a
21b9154,yohanchathuranga,4 months ago,a
890ed7a,yohanchathuranga,4 months ago,add
10de296,yohanchathuranga,4 months ago,resolve conflict
1932e23,yohanchathuranga,4 months ago,app.module update
a81c180,yohanchathuranga,4 months ago,add testing page
99020da,yohanchathuranga,4 months ago,Add calendar  with user model
5e5394b,yohanchathuranga,5 months ago,add
696a0c3,yohanchathuranga,5 months ago,add npm
9464de8,unknown,5 months ago,this is the first commit for the project
964447d,Heshan-kavi,5 months ago,Initial commit
